"","X","text","score","polarity"
"1164",1164," lion cubs rescued war ukraine taken us wildlife sanctuary ",0,"Netral"
"1165",1165," war crime us nato prevent peace talks russia ukraine happened april ",0,"Netral"
"1166",1166,"chavez news channel subscribers kyiv regime killing donbass timeline collection factual evidence ",-1,"Negatif"
"1168",1168," fucking russian war criminals wait see pay crimes war crimes tribunalcome ukraine need demilitarize russia even faster war crimes tribunals get going",1,"Positif"
"1169",1169,"baltic ministers ambivalent outcome ukraine war wont bring security europe ",0,"Netral"
"1170",1170," nah im thinking hell want go nuclear war russia fuck ukraine owe us money aint paying ur right putin whatever tf wants poke bear",-1,"Negatif"
"1171",1171,"russian units appear make progress near bakhmut donetsk suffer heavy casualties keep slaughtering russians ukraine ",0,"Netral"
"1172",1172,"sunak pursuing war policy claims peer exrussian oil boss ",0,"Netral"
"1173",1173," rebekah koffler joins walking us fallout war rebekah expein area author putans playbook ",-1,"Negatif"
"1174",1174," germany france russia offered ukraine minsk ii ukraine signed agreement refused implement escalated terror people donbas ukraine chose war glory russia",-2,"Negatif"
"1175",1175," month november military liberated km territory according war researchers figures mean russia currently occupied territory ukraine ",0,"Netral"
"1176",1176," correlate experiments children racism gotcha understand proxy wars understand russia ukraine war proxy war nato msm russias invasion bs everything happening right connected even balenciaga scandal",0,"Netral"
"1177",1177,"ukrainian women started learning crucial war skill via ",1,"Positif"
"1179",1179,"wipers widening heres matters first half year researchers saw rising trend wiper malware deployed parallel russiaukraine war however wipers havent ",0,"Netral"
"1180",1180,"warching new term use social media watch war real time hence warching ukraine hand russia loss greatly appreciated democracies sacrifices unnoticed huge testament resilience character thank ukraine",0,"Netral"
"1181",1181,"biden macron vow hold russia accountable war crimes ukraine ",0,"Netral"
"1183",1183,"olaf scholz eyes life ukraine war russia back fold ",0,"Netral"
"1184",1184," annexing ukranian territory igniting war donbas ukraine gave away nuclear warheads guarantee russia respect territorial integrity apparently guarantee worth paper written maybe ukraine get back ",3,"Positif"
"1185",1185," war ukraine like wars catastrophic environment struggle reduce emissions curb climate change war accelerating pollution contamination fossil fuel exploration enormously ",-1,"Negatif"
"1186",1186," well fighting war ukraine isnt resolving constructive dialogue russia america progressing geopolitical defense regulation surest way forward set new arms control measures comprehensive security",1,"Positif"
"1187",1187,"ukraines armed forces lost somewhere soldiers far war russia presidential adviser mykhailo podolyak told ukrainian television network thursday ",-1,"Negatif"
"1188",1188,"europe council chief urges xi press russia end war ukraine ",0,"Netral"
"1189",1189,"biden putin ukraine sick ",-1,"Negatif"
"1190",1190,"nuclear war risks popes unchristian remarks lies ukraine talks key points lavrovs press conference ",0,"Netral"
"1191",1191," kosovo genocide nothing us russia perpetrating genocide ukraine russia invading sovereign nation committing war crimes totally different scenarios",-2,"Negatif"
"1192",1192," wait actually talking inc lies peoplelocks stand rights speak war ",-1,"Negatif"
"1193",1193," severity ukraines winter affect course war matthew mpoke bigg world world ",-1,"Negatif"
"1194",1194," astounding list involved conflict resolution tweet put blame russia starting war going since directly started us biden pointman ukraine ukraine",0,"Netral"
"1195",1195,"long article revealing russias plans complete takeover ukraine ",0,"Netral"
"1196",1196," cant take weapon create ukraines artists taking putins russia nations artists weaponising work mount powerful act ",2,"Positif"
"1197",1197," read report rapists washing machine thieves tore thru country ukraine set positions citizens military meanwhile amnesty called russia war crimes forcible deportations torture rape etc ",0,"Netral"
"1198",1198," reason biden say anything like ukraine losing war chance negotiations passed way russia giving momentum",0,"Netral"
"1200",1200,"onethird kherson without power nightfall latest russian shelling ",0,"Netral"
"1202",1202,"faced reality potentially shutting different countries rise delta cases amassing troops russia around ukraine started market behave differently price commodities started rise risk war",-1,"Negatif"
"1203",1203," reports russia pulled troops towns opposite bank dnipro river kherson city said ukraine military thursday first official ukrainian report russian withdrawalfrom south frontline ",0,"Netral"
"1204",1204,"biden putin ukraine sick remember biden accused putin killer straight faced way war ",0,"Netral"
"1205",1205,"captured documents reveal putins preinvasion plan including plot annex ukraine august ",-1,"Negatif"
"1206",1206," theyre gay satanists keep ",0,"Netral"
"1207",1207," china totally underestimated nato commitment ukraine probably like russiaccp overestimated pla capabilities corrupt army world china pay heavy price supporting putins war crimes ukraine mistake ",1,"Positif"
"1208",1208," lets go brandon afghanistan shout oil gas production inflation roof million illegals covid related deaths ukraine war russia crime killings rap etc etc america make call dems sheep keep going baaaaaaa",-1,"Negatif"
"1209",1209," comrade see warsmo person born soviet ukraine mean still personal connections ukraine live russia think general public russia ukraine anti fascist war war imperialist us vs russia",-1,"Negatif"
"1210",1210," cost living school tutor notes stylie cost living mean government autumn statement impact covid government borrowing created russia ukraine war impacted uk economy government plans address situ ",0,"Netral"
"1211",1211," sir looks like russia trying cancel ukrainian culture cultivating separatist movements within ukraine thereby eroding ukraines russian cultural affiliation vital dialogue russia us bring conclusion war",1,"Positif"
"1212",1212," bad dump pootie russian troops retreat kherson front line ",-3,"Negatif"
"1213",1213," dirty game polish government latently antigerman uses even ukraine internal propaganda german systems irist much better patriot germans deploy patriot systems ukraine mean war nato russia",0,"Netral"
"1215",1215,"ukraine war kyiv displays russian nuclearcapable missile ",0,"Netral"
"1216",1216," get beyond western propaganda ",0,"Netral"
"1218",1218,"finlands leader says must give weapons support ukraine ensure wins war russia like finland won continuation war ",3,"Positif"
"1220",1220,"ukraine war kyiv displays dud nuclearcapable missile fired russia bbc ",-1,"Negatif"
"1221",1221," two different situations versailles treaty imposed punitive terms germany war ended present sanctions russia part overall attempt bring war ukraine end thats achieved sanctions russia also end",-1,"Negatif"
"1222",1222,"russia denies strikes kremlin says kyiv end suffering ukrainian sabotage gas pipeline full story ",0,"Netral"
"1223",1223," russian imperial fascism works like whataboutism show equivalent massive several k people anti iraq war protests west except anti ukraine war protests st petersburg moscow n",-2,"Negatif"
"1224",1224,"russia ukraine cant negotiate way war one side lose guest opinion via winners russia leave ukraine",0,"Netral"
"1225",1225," think satan actually lurks fields ukraine ",0,"Netral"
"1226",1226," relevant today lives killed mercilessly arent relevant today never got justice never raised voice usa ukraine russia war happened conscience hit u country war double standards",-2,"Negatif"
"1227",1227," working macron hold russia accountable brutal ukraine war live guardian us ",0,"Netral"
"1228",1228," statement order avoid nuclear war us negotiate settlement ukrainerussia war form intervention ways",0,"Netral"
"1229",1229," war avoided understanding great game ukraine ",0,"Netral"
"1230",1230," russia never defeated us cold war afghanistan sovietafghan chechnya like talk ukraine next",1,"Positif"
"1231",1231," pathetic ",0,"Netral"
"1232",1232," arent even single effective important thing negotiating immediate ceasefire war russia ukraine instant negotiations begin food energy prices drop ",2,"Positif"
"1233",1233," war end either russia leaves ukraine including crimea pays damages families affected ukraine rebuilds infrastructure unless happens unlikely russia temper tantrum baby useless nation ukraine fights",-5,"Negatif"
"1234",1234," fail recognize dismiss ukrainian ppl country sovereign state want control barbaric russia war continues one reason russia invaded sovereign ukraine russia fail",-1,"Negatif"
"1236",1236,"eu proposes special tribunal ukraine nine months war inflicted devastating humanitarian toll ",-1,"Negatif"
"1237",1237," save ukraine make war russia ready",0,"Netral"
"1238",1238," possibility go back prewar order acceptable path ukraine must win russia must lose russia needs regime change national awarness responsibility war crimes committed create something new ",0,"Netral"
"1239",1239,"support ukraine war falls dramatically russia ",-1,"Negatif"
"1240",1240," think russia already planned invade ukraine january year dont think us supplying ukraine weapons provoked russia invade ukraine us want war walkover victory russia",1,"Positif"
"1241",1241," also find articles like guardian back although wont find today ",1,"Positif"
"1242",1242," us monroe doctrine whole hemisphere russia sphere safety borders russia spending billions regime change eastern europe russia west bankingnato stage coups cia ukraine financed war donbas",0,"Netral"
"1243",1243," whats didnt liberate village x time thing forgot tf ukraine fighting even ukraine destroyed tanks thats even russia get shit together war wont get easier",1,"Positif"
"1245",1245," provoked russia responsible war ukraine blood hands challenge posed china encircled us millitary bases aggressor ",-1,"Negatif"
"1246",1246,"four lion cubs orphaned war ukraine arrived minnesota animal sanctuary new permanent home ",0,"Netral"
"1247",1247," satisfied use chris hebert vasily terentev stated im ethnically russian live russia condemn war also condemn cynic behavior war crimes committed ukraine really mr strauss im proud state truth",0,"Netral"
"1248",1248,"russias assault ukraine exposes us allied gaps preparing greatpower war ",0,"Netral"
"1249",1249,"russias foreign minister accused west becoming directly involved ukraine war supplying weapons training soldiers ",0,"Netral"
"1250",1250," fake black guy accuses ukraine following rules russia agreed border war n broke rules end",-3,"Negatif"
"1251",1251," like russia options either right putin may started war russia end ittoday ukraine aggressor invaders ukrainian soilincluding crimea disputed areas slunk back russia war ",1,"Positif"
"1252",1252," ukraine georgia poland finland sweden baltic states japan china caucasus afghanistan turkeyanywhere look russia somehow provoked war one might start suspect russia actually serial aggressor",-1,"Negatif"
"1253",1253," great question try change regime russia guess need waror minimum avoided last march peace talks sure hope war fossil fuels nothing ukraine",1,"Positif"
"1254",1254,"world war decoding russias wagner group ukraine war united states blackwater wion ",0,"Netral"
"1255",1255,"crisis peskov attempts tribunal ukraine legitimate accepted condemned russian investigators continue record crimes kiev regime nato still imposes war prefers fight last ukrainian",0,"Netral"
"1256",1256," empire lies spoken spoiler alert ukraine decides war russia surrender collapse whichever sooner",-1,"Negatif"
"1257",1257," russia uses war crimes weapon war weak getting humiliated every turn part genocidal policy ukraine uses justice system deflection apologies russias vile behaviour says think",-2,"Negatif"
"1260",1260," war cracks ",-1,"Negatif"
"1262",1262,"putin launch christmas offensive ukraine ",-1,"Negatif"
"1263",1263," armed forces lost somewhere far war presidential adviser mykhailo podolyak told ukrainian television network thursday ",-1,"Negatif"
"1264",1264,"russiaukraine war l wagner head recruits convicts shock troops l proof putins desperation ",0,"Netral"
"1265",1265,"westrussia rivalry arctic new battlefield putin inaugurates nuclearpowered icebreakers full story ",0,"Netral"
"1266",1266,"even coming cold months ukraine determined keep military pressure numerically superior faltering foe russia employing pressure tactic deliberate destruction ukraines energy infrastructure ",-1,"Negatif"
"1267",1267,"nytimes rr labor bill passes ",0,"Netral"
"1268",1268," dems didnt fail senate dems voted think mean gop others type thinking nonsense next youll tell ukraine driving war russia lol",-1,"Negatif"
"1269",1269,"stopping turkish incursion time erdogan faces sagging lira skyrocketing inflation war side black sea russias fullscale invasion ukraine different matter three years ago ",-1,"Negatif"
"1270",1270," ukraine leading war destroying russia ",1,"Positif"
"1271",1271,"zelenskys missile strikes warning russia shells nikopol kherson kyiv loses troops donetsk full story ",0,"Netral"
"1272",1272,"ukraine must win russia must lose guilty war crimes criminal orders need face justice say lithuanian estonian foreign ministers spoke rferl sidelines meeting nato foreign ministers bucharest ",-2,"Negatif"
"1273",1273," us france present united front hold russia account ukraine eus michel urges xi use influence russia war ukraine concidence muteness iran china protests deafening",-1,"Negatif"
"1274",1274," googleformer swiss intelligence officer nato adviser jacques baud roots ukrainerussia war growing dangers facts facts ",1,"Positif"
"1276",1276,"live updates russias war ukraine ",0,"Netral"
"1277",1277," united nations launched appeal international donors asking b tackle spiraling desperation fueled part russias war ukraine wow maybe n pedro cld address un n provide expert insite ukrainian conmen running suits",1,"Positif"
"1278",1278,"footage war ukraine russian soldier pmc wagner assault ukrainian soldier ",0,"Netral"
"1279",1279," one waged war russia russia waging war ukraine defending via western assistance",0,"Netral"
"1280",1280," hatred explain dont hate russia russians regularly committing war crimes need leave ukraine recuse ukraine able defend invaders seems quite clear record opposed iraq invasion",-1,"Negatif"
"1281",1281," description absolutely false please stop money train us russia war ukraine",0,"Netral"
"1282",1282,"russiaukraine war russian shelling cuts power kherson lavrov defends strikes new york times ",0,"Netral"
"1283",1283,"plans war many years least seems russia realises zelenskyy use every last soldier left ukraine yankee proxy warrior clearly expects fight last person ",1,"Positif"
"1284",1284," ukraine proxy war nato russia",0,"Netral"
"1285",1285,"leader russias wagner group believed confronted putin war ",0,"Netral"
"1286",1286,"excellent piece chris brown reporting bakhmut explaining sides work hard win ukraine losing soldiers daily russia loses main reason russia committed wagner mercs get bonus take city ",0,"Netral"
"1287",1287," west wont leave ukraine subjected slavery russia war get worse bitter end sanctions russia years years come",-3,"Negatif"
"1288",1288,"germany dont axes grind course course russia wouldnt mind turning gas tap scholz suggests europe go back prewar peace order russia conflict ends ",-2,"Negatif"
"1289",1289," called russia ukraine war used reason increased global inflation bullshit pressuring poor lead earlier deaths due hardship low quality life ppl fewer kids eugenics",0,"Netral"
"1290",1290," love ppl tell give billions ukraine russia coming us next also say russia losing war country wed run week sure russia coming dont stop couldnt take finland",0,"Netral"
"1291",1291,"ukraine war kyiv displays dud nuclearcapable missile fired russia clever theyve run war heads throwing kitchen sink ukraine least targeting power plants civilians stop soon ",-2,"Negatif"
"1292",1292," ask fifa russia belarus sanctions africans lesser countries get sanctions every time people forced fifa sanctions russian people deceived ukraine war never win people ",0,"Netral"
"1293",1293,"bbc news ukraine war kyiv displays dud nuclearcapable missile fired russia ",-1,"Negatif"
"1294",1294," scrap carbon tax everything else theyve done energy sector eco war push peace ukraine russia instead trying win proxy war",2,"Positif"
"1295",1295," war russia getting full army reform ukraine getting crimea turkey reaping weapon deals thanks field demonstration",0,"Netral"
"1296",1296,"russiaukraine war russian shelling cuts power kherson lavrov defends strikes new york times know follow ",0,"Netral"
"1297",1297,"exetlos live updates russias war ukraine cnn ",0,"Netral"
"1298",1298,"ukraine war soldiers fighting russia beneath trees ",0,"Netral"
"1299",1299," know ukraine stand war attrition russia forcing fight one nato need signed agreement defend europe russian murder rape get nato defending ukraine stop playing putin playbook",-2,"Negatif"
"1300",1300,"russiaukraine war russian shelling cuts power kherson lavrov defends strikes new york times via lavrov sense humor honorable russian diplomat enough sleaze diplomacy russia enough russians sleaze balls",1,"Positif"
"1301",1301," says prepared speak ending war however win ",1,"Positif"
"1302",1302," unlike russia ukraine actually investigates things russian soldiers tried fake surrender war crime dont get excited",-2,"Negatif"
"1303",1303,"ukraine war kyiv displays dud nuclearcapable missile fired russia ",-1,"Negatif"
"1304",1304," yeah trading arms dealer nicknamed merchant death wnba player also going mobilize troops get back eithershes gonna wait duration russiaukraine war sorry",0,"Netral"
"1305",1305,"russia ukraine propaganda war makes ending real war much harder ",-1,"Negatif"
"1307",1307,"georgia attacked russia trying preempt russian invasion deoccupying territory taking better defensive positions ukraine attack eastern region ukraine try deoccupy ukraine never threatened invade crimea prior war ",-1,"Negatif"
"1308",1308," remind american lendlease supplies kept stalin war remind russia win cold war tell russia win russoukraine war",2,"Positif"
"1309",1309," eu nothing sinking fourth reich russia serves justification everything everyone europe verge economic collapse governments survive winter ukraine war crimesnato",-1,"Negatif"
"1311",1311," russia committed brutal war ukraine via vile kremlin adversary widespread consequences global economy biden admin spin also annoying often disingenuous",-3,"Negatif"
"1312",1312," ukraine come terms russia turkey boris jonshon intervene said ukrainians made deal thd west never help themsorry pal aint good guys think war criminals like leaders west",2,"Positif"
"1313",1313," one wins story child war full scale invasion ukraine russia wnwwll ",0,"Netral"
"1314",1314," well tbh im war biggest country world joke kazakhstan occupied russia ukraine sweden finland norway",1,"Positif"
"1315",1315,"insane unseen combat footage mariupol ukraine russia war footage combat ",0,"Netral"
"1316",1316," dont damned shortsighted war russia ukraine breaking russias strength means kids never worry long discussion based benefits war pennies dollar",-2,"Negatif"
"1317",1317," like think new talks happen west russia new dialogue must happen order achieve peace biden putin ukraine sick ",0,"Netral"
"1318",1318,"data download may apnorc poll explores partisan divides public views economy gun control war russia ukraine ",-1,"Negatif"
"1319",1319,"biden macron resolve hold russia accountable atrocities war crimes ukraine reuters uk ",0,"Netral"
"1320",1320," unbelievable ukraine war russia",-1,"Negatif"
"1321",1321,"europe convenes tribunal prosecute russian war crimes putins military accused abuses including killings kyiv suburb bucha deadly attacks civilian facilities including bombing mariupol theatre ",-3,"Negatif"
"1322",1322,"based peace russia ready end war respect ukraine ",3,"Positif"
"1323",1323," werent dragged dont want go war corrupt country like ukraine theyre literally trying surround russia inability see shoe foot us wouldnt allow either stop acting like us ",-1,"Negatif"
"1324",1324," disingenuous un resolution put forward russia justify genocidal war ukraine know resolution nothing actual nazism ",-1,"Negatif"
"1325",1325,"ukraine wrecked russias invasion plans crucial weapons helped ",0,"Netral"
"1326",1326,"russias electronic warfare putins forces use moskit drones jam ukraines communications full story ",0,"Netral"
"1327",1327,"support war ukraine plunged inrussia ",0,"Netral"
"1328",1328,"kremlin says notengagewith us onprisoner swap talks end year ",-1,"Negatif"
"1329",1329," perhaps need inform better instead relying silly propaganda reason believe honourable swisse intelligence officer former swiss intelligence officer nato adviser jacques baud roots ukrainerussia war",2,"Positif"
"1330",1330," ukraine innocent russia innocent usa needs worry country send billions upon billions tax dollars fund corrupt proxy war",-2,"Negatif"
"1331",1331,"german chancellor russia win war ukraine ",1,"Positif"
"1332",1332,"russias unprovoked war ukraine left one three ukrainian families without enough food millions around world hungry suffering im glad house recognizes urgency crisis passed resolution condemn using hunger weapon war ",0,"Netral"
"1335",1335," like told julian assange still rotting prison russia ukraine endless war transferring wealth taxpayers us europe group trans national security elites war ",0,"Netral"
"1336",1336,"finally deserving defensive technology cutting oil production fund war ",0,"Netral"
"1338",1338," whole world united around us struggle unjust war independence undisputed said today russia whose sovereignty soon questioned ",-1,"Negatif"
"1339",1339," war provoked us state dept reunification east west germany us promised move one inch toward promise thoroughly documented said ",2,"Positif"
"1340",1340,"russia win war ukraine decisively",1,"Positif"
"1341",1341," climate change models data open everyone see errors prediction also known oil prices high low supply war war exists russia wants annex ukraine abortion debate completely transparent",0,"Netral"
"1343",1343,"russiaukraine struggle mayor tells kyiv residents top water meals case mainblackout ",1,"Positif"
"1344",1344,"russia finally slips oh mr lavrov going prison penal colony go ",0,"Netral"
"1345",1345," u also remember isnt russia u potential current war going russia ukraine per say russia loses reaction also consider chinatiawan war scenario even iran north korea",-1,"Negatif"
"1346",1346,"olaf scholz eyes life ukraine war russia back fold russian seen win ukr new euro security order russia goal new land border china resolves longstanding issues euro security etc",0,"Netral"
"1347",1347,"ukrainian troops suffer russia rains fire bakhmut fight donbass russia ukraine war full story ",0,"Netral"
"1348",1348," nazis ukraine gov supporting sending billion taxpayer dollars weapons funnel ukraine longer natos us proxy war russia last resulting higher number civilian casualties",1,"Positif"
"1349",1349," association editors argentinas news outlets adepa awarded st prize reporting war ukraine report kyiv start war argentinian journalist ukraìne russia invaded country feb ",2,"Positif"
"1350",1350,"eu eyes special court try russia ukraine war via ",0,"Netral"
"1351",1351," biden withdrew military afghanistan hasty disgrace immediately began proxy war russia ukraine trillion national debt printing money service loans cant afford war cant afford close border cuts ss inevitable",0,"Netral"
"1352",1352," clearly putitlers war national derangement yet ",1,"Positif"
"1353",1353," support ukraine plight ukrainians war russia disappointing comment ",-1,"Negatif"
"1354",1354," time frame resolutions resolution suggested every time matter requires investigation russiaukraine casualties mass casualties appear one resolution war crime israel may prompted multiple investigations",0,"Netral"
"1355",1355," research ukraineeuropean union association agreement victoria nuland euromaidan odessa trade union massacre cnn told russia invaded unprovoked war doesnt mean understand youre talking ",0,"Netral"
"1356",1356,"biden macron vowed support ukraine frances leader added ukrainians alone must decide negotiate putin biden welcomes macron first state visit butterpoached lobster side hospitality photos white h ",1,"Positif"
"1357",1357," ukraine great country dont need traitors like people dying stupid decision controlling almost life worked russia comedian traitor make peace war monster ",1,"Positif"
"1358",1358," ukraines army reduced almost larry johnson ursula von der leyens unthinkable today told truth speech condemning russia committing war crimes noted passing ukrainian officershave killed since start",-2,"Negatif"
"1359",1359,"dec part well must brought kind started us never happens continued ",1,"Positif"
"1360",1360," speaks ill devil accused bloody war crimes lost light reason live pride impoverishes ",-1,"Negatif"
"1361",1361," russia literally invaded ukrainefunded created sustained armed separatist militias east russian invasionno war citizens right peaceful protests gov rejects right gov must toppled immediately",1,"Positif"
"1362",1362," exactly russia recent law deserters wagner telling conscripts shot become pow human rights happens manifesters russia someone mentions war ukraine criticises government",0,"Netral"
"1363",1363,"russiaukraine war live russia pulls back forces towns opposite kherson says ukraine ukraine blow kerch bridge asap contain pooptin ",-1,"Negatif"
"1364",1364," youre one engaged conversation way around thing explain current conflict russia ukraine civil war extent contribution discussion didnt talk anything else",0,"Netral"
"1365",1365," looking food gas bills reason inflation gas dollors russia ukraine war tell lies",-1,"Negatif"
"1366",1366,"ukraine war meet georgian legion joining fight russias invasion ",0,"Netral"
"1367",1367," wait g president financing russias war ukraine thats perfectly fine eu us president european commission congratulating russian ally accuse saudi arabia russian ally keeps oil prices high economic benefits",1,"Positif"
"1368",1368," agree war russiaukraine war likely terms end anyway usa weapons spigot prolonged war",0,"Netral"
"1369",1369," war ukraine russia none member nato eu",0,"Netral"
"1372",1372," kind peace proposing exactly russia consistently rejected everything except domination ukraine rejected multiple compromises lead war want want reward aggressor punish victim",0,"Netral"
"1374",1374,"politifact biden said gas prices back russia invaded ukraine theyve dropped peak summer gasoline prices didnt start increasing onset war numbers right rated statement true",0,"Netral"
"1377",1377,"ukraine russia war status update col doug macgregor via ",0,"Netral"
"1379",1379," questions two sides shouldnt takes assertive please answer question us says russias aggression unprovoked nato expanded without soviet union russia ever attacked nato member ",-1,"Negatif"
"1380",1380," anyone complain russia striking ukraines power plants ukraine struck russias bridge crimea etcetera forth zelensky regime plotted war since last february got wanted ",-1,"Negatif"
"1381",1381," yeah nato attack russia kills chechens see kosovo war internally one attacked serbia one attacked russia dont tell ukrainian killed russians russians parts ukraine like odessa still alive",-2,"Negatif"
"1382",1382," abusers always blame victim putin nato provoked invading ukraine commit war crimes steal sovereign territory lets absolutely clear nato didnt invade threaten russia putin st centurys hitler feel free spout russian clownlogic",-2,"Negatif"
"1383",1383," get point important nato accept thats theory already see russia accepting thought ukraine towards nato doubt ukraine nato war talking ukraine nato nonsense",0,"Netral"
"1384",1384," micheal many wars wantpeace talks didnt work peace mean next war years much worse armies stronger russia must lose military defeat ukraine ",-1,"Negatif"
"1385",1385,"us nato direct participants lavrov russiaukraine war south via ",0,"Netral"
"1386",1386,"biden macron condemn russias war pledge air defense ukraine us president joe biden held meeting french president emmanuel macron dec said support ukraines energy sector provide air defense systems",0,"Netral"
"1387",1387," deleted part said estimate wouldnt make b russia supposedly owes ukraine estimate biiichhhh talking estimates run get real figures come open ur trap u corny ass war mongering mthfkr ",-1,"Negatif"
"1388",1388,"tums strategic bombers seen gathering russia threat missile strikes ukraine says general staff via danger ok nato time stand threat russia stp insane war withdraw",-1,"Negatif"
"1389",1389,"russias war ukraine ripple effect russia serbia share close ties mutual antipathy toward nato strong nationalism backdrop russias invasion ukraine dw looks kosovars worry war embolden serbia ",0,"Netral"
"1390",1390,"putins forces get latest tum worlds deadliest bomber seal russias victory ukraine full story ",0,"Netral"
"1392",1392,"biden way end war russia withdraw ukraine ",0,"Netral"
"1393",1393," ok poor little victim ukraine defeat russia putin diplomats twitter account administrators trialed war crimes",0,"Netral"
"1394",1394," misunderstood read carefully war caused part ongoing civil war ukraine began long invasion majority cause war expanding us global domination russias resulting securitysovereignty concerns",-1,"Negatif"
"1395",1395,"russia finally slips slipped day one",0,"Netral"
"1396",1396,"ukraine lost soldiers war russia according presidential adviser mykhailo podolyak us top general estimated russias military seen soldiers killed ",0,"Netral"
"1397",1397," im russian bot dont want go war russia youre ukranian patriot american patriot everything post ukraine nothing post happening america like saidgo fight ukraine one stopping ",0,"Netral"
"1398",1398," nobody win war participants bystanders loose russia occupy ukraine million way",0,"Netral"
"1399",1399,"russiaukraine war live russia pulls back horses towns opposite kherson says ukraine",0,"Netral"
"1400",1400," long clear expansion lead tragedy paying price uss arrogance ",2,"Positif"
"1401",1401," result uks cyber capability americans satellite facilities britishamerican battle field strategy mentioning impossible russia ever win war ukraine suspect uks cyber capability beyond imagination",0,"Netral"
"1402",1402," president president renewed commitment fighting invasion ",2,"Positif"
"1403",1403,"wagner fighters attacked ukrainian posts bakhmut battle trench ukraine russia war ",0,"Netral"
"1404",1404," war nato russia last days putin nato romania himars ",0,"Netral"
"1405",1405,"theres still small issue reparations war crimes tribunal kind security russia russia escape massive responsibility death destruction caused sake cheap gas germany ",-4,"Negatif"
"1406",1406,"according decline remittances russia rising cost living push additional one million people poverty region ",-2,"Negatif"
"1407",1407," lmao germany bring war europe thats pure nonsense biggest players game russia ukraine us",1,"Positif"
"1408",1408,"french president emmanuel macron plans travel washington dc meet president joe biden first state visit since biden took office visit include talks russias war ukraine support kyiv read ",1,"Positif"
"1409",1409,"macron comes usa get biden talk war criminal leader russia macron god damn idiot need give ukraine everything need finish russian army time biden tell war criminal russia nuts",-3,"Negatif"
"1411",1411,"true russian troops return stupid russia nato countries supplying weapons ukraine makes war unfair ",-1,"Negatif"
"1412",1412," russia war ukraine since answer many crimes hague casualties many civilians children thousands injured israel scrutinised international human rights law clear ",0,"Netral"
"1413",1413,"agree honorable ethical put conditions use weapons supplied restricting supply particular weapons nation fighting survival unprovoked war defending eu democracies attack russia ukraine fought alone months ",1,"Positif"
"1414",1414," rebuked peace plan asked visit see war damages inflicted moscow warned oil price cap said provide oil country implementing wests plan",-1,"Negatif"
"1415",1415," many times hear russia war nato ukraine alone fighting monstrous invaders russians already believe fight nato cant escalation end war already ",-1,"Negatif"
"1416",1416," mr zelensky needs stop whining russians russians negotiated neutrality ukraine last december war russia made clear nato ukraine like soviet missiles cuba usa ",1,"Positif"
"1417",1417,"biden macron resolve hold russia accountable atrocities war crimes ukraine",0,"Netral"
"1418",1418,"one watch ukrainian military says russian troops withdrawing positions southern region zaporizhzhia also russians preparing evacuation personnel occupation administrations parts zaporizhzhia region ",0,"Netral"
"1419",1419," germany pay reparations poland russia supposed pay losses ukraine since germany pay murders destruction world war ii germany stole gold cash works art",-2,"Negatif"
"1421",1421," dont need convince anybody ukraine destroyed us desire bring ukr nato war ukraine win russia turn ukraine syria prevent joining nato ",0,"Netral"
"1422",1422," want understand russia done come ukraine see everything tell end war started ended ",0,"Netral"
"1424",1424," enough history post supporting putins genocidal war ukraine current people inspire speak fight putins regime support words actions shame ",2,"Positif"
"1425",1425," crazy world ukrainians think war ukraine know war one order need unite peace late evil agents war zone brainwashed understand wars evil people",0,"Netral"
"1427",1427," question many weapons give ukraine question weapons automatically enters war russia avoided moment alternative send weapons assembled become ukrainianmade ",0,"Netral"
"1428",1428," since war aggression illegal international law liable damage caused terror onto part indemnification russian assets ukrainian territory seized forfaited",-5,"Negatif"
"1429",1429," also oppose lp suggested us intervening russia war force ukraine negotiate give territory end war good",-1,"Negatif"
"1431",1431," living cold environment fighting one demand different skills russias newly mobilised troops may discover ",-1,"Negatif"
"1432",1432," sit silent think russia done pray ukraine feel pain ukrainians look ukraine war thank time",-1,"Negatif"
"1434",1434," putin good reason make war said nazis tt thought hed reelected tt wanted build russia rebuilding ukraine cherry top tt sucking putin private meeting cum concrete trump lane hiway throat",0,"Netral"
"1435",1435," battle small city bakhmut important russia ukrainecbc news conditions terrible casualties enormous significance bakhmut debatable ",0,"Netral"
"1436",1436,"talking russians ukraines surrender hotline via according institute study war kremlin also carrying prisoner war exchanges tries soothe critics inside russia",-2,"Negatif"
"1437",1437,"ukraines heavy casualties signal washingtons de facto war russia trouble president joe biden change direction face national security crisis end presidency ukrainianactivelycensoring von der leyen latest victim ",-1,"Negatif"
"1438",1438," war ends russia pulls ukraine us happily assist russia ",1,"Positif"
"1439",1439,"crisis us war russia americans train ukrainian soldiers month germany us b training larger groups ukrainian soldiers sophisticated combat tactics coordinating infantry maneuvers artillery support",1,"Positif"
"1440",1440,"four lion cubs orphaned war ukraine arrived safely minnesota animal sanctuary pledged provide permanent home ",1,"Positif"
"1441",1441," kremlin thursday condemned call top european union official create special court prosecute possible war crimes top russian officials ukraine saying body illegitimate unacceptable moscow ",-2,"Negatif"
"1443",1443," remember us nato financing arming training neonazis ukraine proxy war russia ",0,"Netral"
"1444",1444," im fan american empire marched us wars respect ukraine eastern europe though dont see much talk people actually want spent time ukraine volunteering war unambiguously want freedom russia",2,"Positif"
