"","text","score","polarity"
"1664","Live updates: Russia's war in Ukraine - CNN  -  Know more at https://t.co/2iXi4xHKL5 

Follow @WWIII_Live

#WWIII  #WorldWar3 https://t.co/BRKQ4RqNkH",0,"Netral"
"1665","@pictureladyjan @IAPonomarenko The decision to accept Ukraine into Nato was announced in 2008. Biden administration reiterated decision to accept Ukraine into Nato in Jan 2021. Which promoted attempts by Russia to negotiatiate. After Russia was ignored, it started the war. 
https://t.co/tUeNFccZMr",0,"Netral"
"1666","Scott Ritter - Ukraine Russia War Update 11-30-22 https://t.co/iYMpAtTkWS via @YouTube",0,"Netral"
"1667","MALPASS SAYS RUSSIA'S WAR IN UKRAINE IS 'GRINDING,' WRECKING THE FUTURE FOR RUSSIA",0,"Netral"
"1668","MALPASS SAYS RUSSIA'S WAR IN UKRAINE IS 'GRINDING,' WRECKING THE FUTURE FOR RUSSIA",0,"Netral"
"1669","MALPASS SAYS RUSSIA'S WAR IN UKRAINE IS 'GRINDING,' WRECKING THE FUTURE FOR RUSSIA",0,"Netral"
"1670","‘I can’t take up a weapon, so I create’: how Ukraine’s artists are taking on Putin’s Russia https://t.co/o6SBcQSqX0",0,"Netral"
"1671","@redacted_ghost_ So are you implying the US is not an imperialist State and this is not a proxy war? The US started this, Ukraine is a pawn. If you support the Nazi Kiev regime you also support US imperialism. It's simple. I'm in favour of a multipolar world. Russia is not an imperialist State.",1,"Positif"
"1672","@vaarufj @Geoffreytsmith @bneeditor No one's economy is in a good place now, but Russia's is doing better than expected. You can't say that about Ukraine, which they're at war with.",2,"Positif"
"1673","@JasonMBrodsky @HillaryClinton Remember  #PS752, they killed innocent people by sacrificing human shields with two missiles. Remember  #IRGC Is supporting #Russia in  #war in  #Ukraine. Remember  #Aban they killed over 1500 This brutal regime and child killer is a threat to HUMANITY.  #Mahsa_Amini  #مهسا_امینی",-4,"Negatif"
"1674","@GaryNagle6 While you continue doing business in russia, innocent children, civilians are being killed by the aggressor's army in Ukraine. Stop your bloody business, stop sponsoring the war against Ukraine! https://t.co/BVtJGcLLyy",-2,"Negatif"
"1675","European Union chief Ursula von der Leyen yesterday, November 30, 2022, floated the idea of a ""specialized court"" to put Russia's top officials on trial over the war in Ukraine.

https://t.co/y5eHYGuPoN #VisionUpdates",1,"Positif"
"1676","#JoeBiden #USnews Biden and Macron seek to heal trade rift over ‘glitches’ in Inflation Reduction Act: US and French presidents express united support for Ukraine in war against Russia

Joe Biden has sought to heal a rift with France’s President… https://t.co/AdYGnAxHgY",1,"Positif"
"1677","While Biden's statement saying that 'what Russia is doing in ukraine is sick.'  It's also Terrorism at the highest levels. https://t.co/VceO0MkBi7",0,"Netral"
"1678","@fjbursinger @JamesBradleyCA @elonmusk The only difference is that Red Don would’ve provided US troops to fight alongside Russia. So maybe there wouldn’t be a war, but Ukraine wouldn’t be free any longer.",1,"Positif"
"1679","Russia says EU call for Ukraine tribunal illegitimate https://t.co/YRG2v69xbJ via FXEmpire #forex #fx",-1,"Negatif"
"1680","@Glencore While you continue doing business in russia, innocent children, civilians are being killed by the aggressor's army in Ukraine. Stop your bloody business, stop sponsoring the war against Ukraine! https://t.co/KLDZcusHUg",-2,"Negatif"
"1681","TRUMP-NO WARS VS BIDEN UKRAINE-RUSSIA WAR

TRUMP-ENERGY INDEPENDENCE VS OIL FROM VEN-
EZUALA, RUSSIA, SAUDI ARABIA

TRUMP-NO PANDEMIC MANDATES VS BIDEN'S SERIAL MANDATES FIRING POLICE, FIREFIGHTERS,
ARMED FORCES PERSONNEL

TRUMP-REFORM SCHOOLS, REBULD LAW ENFORE-
MENT VS '0'",0,"Netral"
"1682","@price_t_k @i_captainzakk @TheInsiderPaper Russian didn't invade at that stage.
Biden publicly warned Russia against invading just before they did.
How does sending weapons to Ukraine spark the war, surely that would discourage invasion?  It was only in response to a large build up of Russian troops for the previous year",-2,"Negatif"
"1683","Russia did not cause the war in Ukraine, says half of Slovakia. 
(This is the smartest country in Europe).☂️ &gt;🌂
https://t.co/GrZ7cWaEn2",1,"Positif"
"1684","In Beijing, Michel urges China to influence Russia to end Ukraine war – @EURACTIV https://t.co/1fCDQtUEf3",0,"Netral"
"1685","Ukraine war: Kyiv displays dud nuclear-capable missile fired by Russia https://t.co/p8axFftmxR",-1,"Negatif"
"1686","U.S &amp; France said in a joint statement that they were determined to hold #Russia to account ""for widely documented atrocities and war crimes committed both by its regular armed forces and by its proxies including mercenary entities such as Vagner 
#Ukraine
https://t.co/vWqtsMTdug",-1,"Negatif"
"1687","@Nexo921 @WarMonitors NATO is not US. US is not in Ukraine. NATO is also not in Ukraine. Russia is in Ukraine. Russia is waging a genocidal war in Ukraine. Russia will take everything from you. Russia will not stop.",0,"Netral"
"1688","@Dpol_un The twisted logic is thinking Russia has any right at all to engage in imperialistic territorial conquest.

Russia had no right to invade Ukraine and start this war in '14 and still has no right to be in Ukraine or continuing to occupy Ukrainian territory.

Ukraine is not Russia. https://t.co/U1R3DgQswM",2,"Positif"
"1689","@josemorgado Serbians were bombed coz they committed similar war crimes as Russia is committed in Ukraine now. Milosovic was tried &amp; convicted for war crimes. 

Serbian players always sympathize with war criminals - Serbia or Russia. Plenty of pics of DjoCovid socializing with war criminals!",0,"Netral"
"1690","@Yolo304741 Yes, because when you're at war, EVERY SINGLE PART of your country is under attack ALL THE TIME. 🙄

Hey, remember when this happened (and all the times before that when Russia hit Kyiv with missiles)?
https://t.co/HlFOzeMuYO",-1,"Negatif"
"1691","@POTUS David Icke in 2015, 7 years ago, talking about America’s plan to start a war with Russia using Ukraine. 

Russia had annexed Crimea in 2014 during an earlier conflict and they both signed Minsk II, the bilateral agreement to end the conflict in 2015 https://t.co/PpiLYHBNSG",-2,"Negatif"
"1692","4 lion cubs saved from war in Ukraine arrive at US sanctuary | AP News https://t.co/o9kYvtGQQR",0,"Netral"
"1693","@FrankMikeDavis1 The border policies, ending the war in Afghanistan, spending in Ukraine, investigating tfg, Hunter's salary when Joe was VP etc, etc. It doesn't have to be a factual issue. Sad for our country, just headlines for Russia 🤬",0,"Netral"
"1694","⚡️Russia must be demilitarized, deimperialized, and denazified. As modern Russia is the threat to democracy and freedom in the world, - head of Kyiv Security Forum @Yatsenyuk_AP at the #KSF. Putin wages war not only against Ukraine, but against the democracy as such. https://t.co/Bo9gHsuA1m",1,"Positif"
"1695","Concern for two priests detained in southeastern Ukraine - Vatican News https://t.co/2sxHoRzWrc",0,"Netral"
"1696","@PurritoCatt @adamspva @SenBillCassidy Wrong again, shortbus. Biden/Blinken started the war in Ukraine by pushing for Ukraine into NATO. Turn off MSNBC and try reading a book.Russia has made clear they want buffer between themselves and Europe. Trump wouldn’t have started the war and 400k people would still be alive.",1,"Positif"
"1697","chinahas no Power to Convince Russia https://t.co/HyV1TjgQ5J",0,"Netral"
"1698","@Petecanadaeh @BryanDa39913526 @RNCResearch Ok. It’s official-he cheats in golf.  Biden doesn’t lie about dealings with his son in Ukraine, china, Russia.Things are SO MUCH BETTER now that we have that honest man in office than 3 years ago before the pandemic! Inflation, war, violence, energy- freaking paradise here! Golf?",-1,"Negatif"
"1699","@avrain27 @apmassaro3 Sorry, my post was ambiguous.
In 2022, Putin had to ask China when it is allowed to start the war against Ukraine. 
My prognosis: Unless Russia admits defeat and withdraws from Ukraine, in 2032, the Chinese government will decide who will be the leader of Russia.",1,"Positif"
"1700","#Russia accuses #US of 'direct' participation in #UkraineWar, but #Lavrov open to #talks. Russian Foreign Minister Sergei Lavrov says Russia is open to talks with US despite pulling out of nuclear New START Treaty talks. https://t.co/5wJVLJCxG3",-1,"Negatif"
"1701","""Macron and Biden meet in Washington with Ukraine at the top of the agenda."" by BY ZOLAN KANNO-YOUNGS, HELENE COOPER AND ROGER COHEN via NYT New York Times https://t.co/gXGX0RakT5",1,"Positif"
"1702","EU plans to set up a new court to prosecute Russia’s war on Ukraine – but there’s a mixed record on holding leaders like Putin accountable for waging wars https://t.co/Jxs8zQasrR",0,"Netral"
"1703","EU plans to set up a new court to prosecute Russia’s war on Ukraine – but there’s a mixed record on holding leaders like Putin accountable for waging wars https://t.co/Q7XwndDh5O",0,"Netral"
"1704","US President Joe Biden said that he is prepared to speak with Russian President Vladimir Putin about ending the conflict in Ukraine https://t.co/J1WELEXaaQ https://t.co/b6N7sm5wB8",-1,"Negatif"
"1705","@ChaloubMega @RaspberryPotato @Gerashchenko_en Russia was in a dire situation demographically before the war. The current generation sent to Ukraine is Russias smallest. Since then 100k dead and wounded and at least 700k young have left the country. Russia is dead. Ukraine will be rebuilt. Population pyramid before the war. https://t.co/NlfBUrzsOD",-2,"Negatif"
"1706","@Jake03857232 @jordanbpeterson Like you know, I live in Poland we have 0 gas from Russia, 0 coal. The prices are higher but it’s not as catastrophic as the western media tell us. And you need to remember that Poland is the closest country to war in Ukraine right now.",0,"Netral"
"1707","""President Biden made it pretty clear. He said, that until President Putin is showing signs that he really is willing to end this war, President Biden is not going to sit down and talk to him.""

ABC's @eschulze joins us to discuss Biden's comments on the Russia-Ukraine War. https://t.co/m9iH2cn4nV",2,"Positif"
"1708","@f_o_r_Ukraine Perhaps she is more afraid of what will happen if Russia loses the war – breakup of the Russian federation, warlords who rule worse than Putin.",-4,"Negatif"
"1709","@KalimeroKalo @VoBodas @Mataji__ @Stako_tennis Russia has nazis too. Who do you think all the alt right white nationalists are cheering for in this war? It ain’t Ukraine. Tells you all ya need to know.",1,"Positif"
"1710","Chancellor Olaf Scholz said at the Berlin Security Conference.
🇩🇪Ukraine should be able to exercise its legitimate right to self-defense, but it also serves to protect the European security architecture, Scholz said. He is convinced that Russia cannot and will not win the war",3,"Positif"
"1711","#GenocideOfUkrainians #Putin says until the last Ukraine plus he uttered nuclear war which is a crime in itself. #closethesky of Ukraine. They need our protection not talks! Get out of  Ukraine Russia &amp; you will pay! How will you get back all those you murdered? #stopthewar now https://t.co/PpgQegv2t8",0,"Netral"
"1712","Russia's war on Ukraine latest news: Russian troops pull back near Kherson $TRI https://t.co/5ZCz5D6gsf",0,"Netral"
"1713","@DebiM0077 @igorsushko As far as Russia 'fighting a War'(one with guns/tanks/planes etc.), that's laughable.

Putin can't even equip(or arm) the Conscripts he's rounding up at gun point, and most of Russia's Armor &amp; Weapons Systems have either been obliterated in Ukraine, or commandeered by Ukraine. 🇺🇦",-1,"Negatif"
"1714","8. In the process, Ukraine and Russia are once again the targets of German imperialism's geopolitical and economic interests, as they were in World War I and World War II. At the same time, the spread of historical lies serves to strengthen far-right forces in Germany itself.",-1,"Negatif"
"1715","(1) Russia's war in Ukraine means ""we need to become brothers in arms"" once more, Macron says at White House - CNN: * (1) Russia's war in Ukraine means ""we need to become brothers in arms"" once more, Macron says at White House  CNN
 * As winter weather… https://t.co/E6oiogkXNK",0,"Netral"
"1716","@marclamonthill Marc, russia ain’t letting her go while the USA continues to support the ukraine war.",1,"Positif"
"1717","Thank goodness someone has at last strongly denounced Russia's war against Ukraine. https://t.co/cQK2OL6SIZ",1,"Positif"
"1718","Russia's Lavrov says U.S. and NATO are direct participants in Ukraine war | Cyprus Mail https://t.co/KMaCX17gGa https://t.co/X2TZRScE8y",0,"Netral"
"1719","Is There a Way For Ukraine to Win Its War With Russia? https://t.co/cXZlCoDgq6 #Ukraine https://t.co/kD138PSBiz",0,"Netral"
"1720","Russian Death Toll To Hit 90,000 As Grisly Cost of War Revealed: Ukraine 

#russia #news

https://t.co/LfwbsOoEJ1",0,"Netral"
"1721","@Louis_De_Buade French President Emmanuel Macron this week said that negotiation with Russia could still end the war in Ukraine — and that Russian President Vladimir Putin’s invasion was a “huge mistake” based on “a fake narrative.”
-About sums it up.",-1,"Negatif"
"1722","@MattGallagher0 We, Americans have a say &amp; leverage as long as we are sending $ &amp; weapons. It would be great if Russia just left, but Russia won’t tolerate a Ukraine heavily influenced by the west on its border. We are using Ukrainians as proxies in a unnecessary &amp; dangerous war against Russia.",0,"Netral"
"1723","""Macron and Biden meet in Washington with Ukraine at the top of the agenda."" by BY ZOLAN KANNO-YOUNGS, HELENE COOPER AND ROGER COHEN via NYT New York Times https://t.co/VUATS8S1Hs",1,"Positif"
"1724","https://t.co/dglQ65FddO
💭 German Chancellor Olaf Scholz said that Europe can return to a ""peaceful order"" with russia on the condition that russian President putin renounces aggression towards neighbouring countries.",-1,"Negatif"
"1725","@tennisinaloha @Mataji__ @Stako_tennis Not everyone in Serbia supports Russia. I know a lot of people that are against this war, but there are also people who dislike Ukraine because it's close to NATO, an organization that did the bombing of Serbia. Also Russia has helped Serbia quite a few times troughout history.",1,"Positif"
"1726","In Russian “zakalivaniye organizma” means hardening of the body. ""When I took turns roasting myself in the sauna and freezing in the cold plunge at SF’s @banyaSF the extreme temperatures banished my intrusive thoughts like a lobotomy."" https://t.co/WdpZfnoUs5 via @nananastia https://t.co/pdHw2PsTFL",-2,"Negatif"
"1727","@vuktang1 @Evelyn__020 @Teoyaomiquu #Russia wanted to protected the russian people who live in Ukraine and fanatic ukrainian neonazi wanted to kill the Russian people.But i told you that there is a big #religiouswar in #Ukraine which it started many years ago and #Vaticano is responsible for this war.",-2,"Negatif"
"1728","@kwiblinfrankie @Ismaila_Almare @kevin_arsene @MayorOfIkeja @ShehuSani Which war is more real between Ukraine vs Russia and Nigeria vs Boko Haram?",0,"Netral"
"1729","@WarMonitors Biden clearly doesn't care about the average Ukrainian, but it fits perfectly into the US strategy of turning Ukraine into Russia's Afghanistan. Onward now to war w/ Iran!",2,"Positif"
"1730","Europe's largest security organization, one founded to maintain peace and stability on the continent, opened a meeting Thursday with strong denunciations of Russia's war against Ukraine, a conflict that is among the greatest challenges the body has... https://t.co/ZeA4HZcc8u",2,"Positif"
"1731","FJB! Surely he isn't that dumb. Or was  where this is headed his intention? Evil  Brandon. 

https://t.co/SpR7RfAiqM",0,"Netral"
"1732","""France and the United States will continue to support Ukraine in every possible way in the war with Russia for as long as necessary,"" the document says.
@Flash_news_ua",1,"Positif"
"1733","@WarMonitors @kanyewest The war in the Ukraine is basically a war being fought by Satan and his legions on one side (USA/NATO) Vs. God and his angels on the other (Russia and global south). This is why USA/NATO already lost, because evil ultimately fails..",-1,"Negatif"
"1734","@EmbassyofRussia @mfa_russia @PMSimferopol @RusEmbUSA @diplomacy_sa @SABCNews @georgegalloway @RusConsCapetown @RussianEmbassyC @v_tretyakov @Amb_Ulyanov You are such hypocrites. 
1. This is not a conflict. This is Russian invasion of Ukraine. 
2. You started the fire and since then  have been pouring oil on the flames of the war. Haven't you?",0,"Netral"
"1735","Source https://t.co/YqDipERXAU",0,"Netral"
"1736","France backs plans for tribunal for Russian officials over Ukraine war https://t.co/p5ushGGdcE France’s announcement is a strong indicator that the west is becoming disillusioned with the prospect of negotiations with Russia.",0,"Netral"
"1737","@ellshepherd Sounds like you're mistaking Russia for a democracy! Putin will never pull out of Ukraine. The war ends when Putin dies imo",0,"Netral"
"1738","Ukraine war: Kyiv displays dud nuclear-capable missile fired by Russia https://t.co/26hUCWprAS",-1,"Negatif"
"1739","""Macron and Biden meet in Washington with Ukraine at the top of the agenda."" by BY ZOLAN KANNO-YOUNGS, HELENE COOPER AND ROGER COHEN via NYT New York Times https://t.co/KZ5FcImmYb",1,"Positif"
"1740","@DanyloParkhome1 @DefenceU Ukraine is fighting Russia? If that would be the case, there would be no Ukraine since April or May...
I know you have a lot of pride and lots of emotions when you see country you love at war. All while people who don't care about Ukraine and its people are making billions.",2,"Positif"
"1741","What’s Ukraine’s War with Russia got to do with America France
or anyone else for that matter ?
If the Ukrainians want Peace they alone should say so.
But of course #Zelensky doesn’t make any decisions 
@SamRamani2 https://t.co/Wug303nPdg",0,"Netral"
"1742","@GrkStav What is the conclusion to draw from this? National movements typically draw in sordid characters. Is it surprising that Ukraine is tapping into historical nationalism in what is, effectively, a war of independence from Russia?",0,"Netral"
"1743","""Macron and Biden meet in Washington with Ukraine at the top of the agenda."" by BY ZOLAN KANNO-YOUNGS, HELENE COOPER AND ROGER COHEN via NYT New York Times https://t.co/gUOfmozB5N",1,"Positif"
"1744","Atmospheric frame of a terrible war. Follow my tg https://t.co/Ex9r09mMHm &amp; https://t.co/9v16flByj9 #war #russia #ukraine https://t.co/7P0g5rsYO8",-1,"Negatif"
"1745","It was great to take my @MonashUni Prato EU Politics students to Fiesole &amp; to an @EUI_EU panel on the EU, Covid-19 and the Russia-Ukraine war yesterday. Many thanks to @EUI_MWProgramme Fellows Bohdan Bernatskyi, Matilde Ceron, Sonali Chowdhry &amp; Iuliia Lashchuk for their insights! https://t.co/guFwbyMFaJ",1,"Positif"
"1746","@RepMcCaul an ex-Ukrainian diplomat Olga Sukharev Skaya compiled a thorough article on war profiteers &amp; quotes a US MD Samantha Morris who had 15 trucks of med supplies disappear from the Sumy base. I saw it in Russia Today 11/24. It lists names, amounts &amp; quotes Ukraine military",0,"Netral"
"1747","This is terrible. We should be negotiating for peace and saving this poor man's life. Ukraine is not going to win this war and the U.S. just wants to weaken Russia https://t.co/iid1KHCK24",0,"Netral"
"1748","@Booty_by_Olha @mattiasdahlpoli @MKathrynHennes1 @AZgeopolitics Russia is of course involved, but the West is involved no less than Russia. But the core of the war is a civil war, because Ukraine was never a single-nation state, but was created by drawing borders that included many indigenous peoples, including the Russians.",0,"Netral"
"1749","@RussianEmbassy @mfa_russia @RusembUkraine @BBCWorld @SkyNews @REESOxford @POLITICOEurope @guardian @ForeignAffairs @spectator @LBCNews When last did you look at Russias police? Peaceful protesters beaten up and arrested, some sent to Ukraine. Jail for calling it a war! You’ve no right to lecture anyone…",1,"Positif"
"1750","@MadAtTheGalaxy @AnnaBan86560756 @IrynaVoichuk US wanted to resume their proxy war, they openly broke ceasefire and resumed their genocide on ethnic Russians in the east, lead by Nazis who now run Ukraine. Russia had enough of it and stepped in to stop it. The blame lies with Ukraine, Nazis the US etc. They end it by stopping",-1,"Negatif"
"1751","@m15992576 @mattiasdahlpoli @MKathrynHennes1 @AZgeopolitics Not wrong.  Russia paid a lot to sway that decision, even Lavrov admitted in a recent interview this war started because Ukraine refused to listen to warnings about distancing themselves and aligning with EU/NATO.  

How many countries openly support Russia?",1,"Positif"
"1752","Biden: What Russia is doing in Ukraine is sick. CNN. I do not care. I will not vote for politicians who keep supporting our proxy war against Russia. Enough. No war! @SenateDems @HouseGOP #gapol",1,"Positif"
"1753","🇺🇸Joe Biden says he will negotiate with Putin only when Russia wants to end the war: “Putin must leave Ukraine, this is number one. As long as he doesn't want to. He pays a very high price for not doing this. But I have no plan to appeal to Putin,” the US President said. https://t.co/vzHSmcrsZW",1,"Positif"
"1754","Ukraine military reports Russian withdrawal in south via @RTENews https://t.co/7MmJj59sHn",0,"Netral"
"1755","@AssumeImJoking @tedcruz Since the war started our deficit has come down. Europe is helping as well. If our NATO Allies and the US had allowed Russia to steamroll Ukraine, we would be in WW3. Best to stop them in Ukraine and destroy their military there. That's what we're doing and why",0,"Netral"
"1756","@JackMurphyRGR Define winning. Is it the total surrender of Russia &amp; withdrawal from Ukraine? Russia tolerating a western influenced Ukraine is ahistorical &amp; not realistic. 

The blob’s plan to blindly spend trillions (while our border is open) &amp; risk a nuclear war is incredibly dangerous.",-1,"Negatif"
"1757","@RussianEmbassy @mfa_russia @RusembUkraine @RusEmbUSA @RussiaUN @RusMission_EU @BBCWorld @POLITICOEurope @ForeignAffairs @DiplomacyOxford @REESOxford Two things:

Lavrov refers to Russia's illegal invasion of Ukraine as ""a war"", ordinarily for which Putin puts people in jail as he demands they use the faux nonsense ""special military operation""

And in using ""modern weapons"", Lavrov is admitting that Russia's are the opposite.",-2,"Negatif"
"1758","Wellington Fund
@FundWellington
""MI6-CIA(HRC=UAFIRCWar)=NATO(US$&amp;UK£&amp;EU€)Snctns(RuinEU)CauseOngoingUAFIRC-CW=Foment(UAArmsDlng&amp;NATOUAWarProfiteering)=NATOGuilty=UN-ICC-UA-WC(OnlyRF-CN&amp;USExempt)=EUFakeRF-CN-SST(S&amp;L)=NoLegalEffect=NATOLetGo=RF-CNWins=NWO""
https://t.co/4UT0r1MxNw https://t.co/SlRdh8NdrH",0,"Netral"
"1759","Counterpoint: The only way to end the war is for NATO to withdraw from Ukraine.

Russia will continue to pound Ukrainian infrastructure until Ukraine surrenders. And they won't stop until Russia achieves the total de-NATOization of Ukraine. https://t.co/kGB8bJRBew",0,"Netral"
"1760","Ukraine war: Kyiv displays dud nuclear-capable missile fired by Russia https://t.co/dy379K9HDU",-1,"Negatif"
"1761","@EndGameWW3 This hour long interview on the Russia Ukraine conflict as it relates to nuclear war is very interesting https://t.co/fX0lqcF3Iu",0,"Netral"
"1762","""Macron and Biden meet in Washington with Ukraine at the top of the agenda."" by BY ZOLAN KANNO-YOUNGS, HELENE COOPER AND ROGER COHEN via NYT New York Times https://t.co/9y6uoLdhmj",1,"Positif"
"1763","@AllSeeingEyes9 @OBOB1923 @noorabbasmirza @clashreport Russia can't even win from Ukraine, against NATO it would be a very short war indeed... 4000+ fighters that actually fly and can be loaded to the brim with munitions again and again 10k+ Cruze missiles. Let's hope it never happens, but it's Russia that needs to be scared...",1,"Positif"
"1764","The #VR film ""You Destroy. We Create."" shows how Ukrainian artists protect and sustain their country's culture in the midst of war. #virtualreality #ukraine #russia

https://t.co/h8gb8F9M98",1,"Positif"
"1765","@liberalhunter62 @JustZoobie @SabieWebb22 @CollinRugg Ukraine has the richest farmland in the old USSR and Putin wants it for Russia. The war would have happened for that reason anyway.",0,"Netral"
"1766","Thread. Perhaps the most important geopolitical result of the Ukraine War is that Europe can now handle Russia by itself. Theoretically, this should give the U.S. greater latitude to focus on Asia. https://t.co/mEPMiDG4bR",1,"Positif"
"1767","Why does @NEWSMAX push the same propaganda as the other big news networks? America needs to hear real stories from Russians and Ukrainians on the ground and not have a news story skewed towards keeping Americans supporting this ridiculous proxy war in Ukraine against Russia.",-1,"Negatif"
"1768","Bullsht propaganda alert 
Don't believe a word fro Zelensky's nazis or the bullsht media.. 
Propoganda 
DEFUND THE BIASED BULLSHT BROADCASTING COMPANY 

BBC News - Ukraine war: Kyiv displays dud nuclear-capable missile fired by Russia
https://t.co/oWrjfG81b2",-2,"Negatif"
"1769","Sanctions on Russia Are Working. Here’s Why. The Kremlin’s ability to wage war is already constrained, but the worst is yet to come. https://t.co/hOoGb5SBHX via @ForeignPolicy",-1,"Negatif"
"1770","@unesco_russia @mfa_russia @UNESCO @ErnestoOttoneR Russia should be the last country on the planet to use the word “barbaric” unless it is applied to describe its imperialist war of colonial conquest it is waging against the people of Ukraine.",-1,"Negatif"
"1771","The war between Russia and Ukraine benefits China greatly while the rest of the world suffers.

China is VERY close to monopolizing #neongas. Here's why that can't happen...

https://t.co/Zm3ktdHrx6",1,"Positif"
"1772","@EndGameWW3 @johnbruso Nope, Russia could collapse, as could Ukraine.  Russia and West had many such war, non ended nuclear luckily.",0,"Netral"
"1773","Europe wants Russia to pay the $600 billion Ukraine bill: Ukraine War in data https://t.co/V79db2Mrbh",0,"Netral"
"1774","@Ukraine war: #Kyiv displays dud #nuclear-capable missile fired by @Russia. https://t.co/Ut0Xpp0xdN",-1,"Negatif"
"1775","❗️Not 100 thousand. Podolyak named Ukraine's losses in the war with Russia

The adviser to the head of the OP said that, according to the estimates of the General Staff, Ukraine's losses in the war range from 10 to 12.5-13 thousand dead.",-2,"Negatif"
"1776","@EndGameWW3 Oh, you so you want Russia to win!!!
The war ends when Russia get out!!!
The EU, NATO, and USA will keep supplying Ukraine.
What is wrong with you!!",-1,"Negatif"
"1777","@mike72493541 @business Ukraine was bending over backwards til april to stop war.  Til Bucha.

After that, Ukraine said one demand. Russia will GTFO of all Ukraine. When Russia accepts that, will talk.

Russia refuses to leave Ukraine.  A fully realistic demand for peace.  Putin refuses.",0,"Netral"
"1778","@DiogoRo76871614 @totalkazaporez @itsmedanielfc @benmcdougall @Meitsi420 @Johnjohn1347 Zak is a white russian. And no they gave their own issues IN russia . We are different. And no Russians have a right to talk about Ukraine, our experience or this war. Why is he explaining it to the west? Again — you should hear it from Ukrainians. Fundamentally wrong.",0,"Netral"
"1779","@m15992576 @mattiasdahlpoli @MKathrynHennes1 @AZgeopolitics And in many other scientific publications I can read that a Russian backed military started killing citizens, resulting in western support.  

The civil war was due to Russia interference in Ukraine politics.  The game which every country plays. Russia lost and started killing.",-3,"Negatif"
"1780","Ukraine war: Kyiv displays dud nuclear-capable missile fired by Russia https://t.co/5urpX3F1O5",-1,"Negatif"
"1781","@WarunaWimal @spacemanxype @wartranslated In my opinion this war has and continues to force Russia to purge corruption and accelerate the modernization of its forces. War forces innovation and correction. In a similar vein Ukraine has and is being forced to rapidly develop one of the most competent defensive army around.",-1,"Negatif"
"1782","""Macron and Biden meet in Washington with Ukraine at the top of the agenda."" by BY ZOLAN KANNO-YOUNGS, HELENE COOPER AND ROGER COHEN via NYT New York Times https://t.co/nQ5ixSFWFJ",1,"Positif"
"1783","Emmanuel Macron said the United States and France had a shared responsibility to protect democracies on both sides of the ocean and face the direct and indirect consequences of the war in Ukraine together.https://t.co/RQJK450DJK",1,"Positif"
"1784","@omarswilmon basically in the uk atm there’s a cost of living crisis (i think other countries maybe germany) so food prices are going up many people can’t put heating on it’s too expensive some people think the crisis is because of covid but also the russia ukraine war because energy xx",-3,"Negatif"
"1785","Olaf Scholz has suggested that Europe should go back to its pre-war “peace order” with Russia and resolve “all questions of common security” after the war in Ukraine if President Putin is willing to renounce aggression against his neighbours. https://t.co/RM2CBOGzj4",-1,"Negatif"
"1786","Ukraine war: Kyiv displays dud nuclear-capable missile fired by Russia https://t.co/2BVOdjrQLO",-1,"Negatif"
"1787","Prigozhin needs to be declared a terrorist, and the Wagner Group as a terrorist organization by the US and all our allies. Freeze their assets and prevent their mercenaries from traveling freely between countries to replenish their ranks in Bakhmut. https://t.co/UvQrVivK6q",0,"Netral"
"1788","Russia's war in Ukraine: Live updates - CNN: Russia's war in Ukraine: Live updates  CNNView Full Coverage on Google News https://t.co/TDHYQ4TMLr",0,"Netral"
"1789","#Markets
#FinancialMarkets 
#Neutral
2022/12/02 04:01
Biden: Macron and I will continue to work together to hold Putin accountable for his actions
https://t.co/HyccBPcIuq",1,"Positif"
"1790","@JackMurphyRGR Russia can’t get their tanks out of the mud in eastern Ukraine &amp; have no reason or ability to threaten Poland (accept w/ nukes) that’d be suicide for Russia. 

This argument is the “fight them over there so we don’t fight them here” pre Iraq war nonsense.",-3,"Negatif"
"1791","@Booty_by_Olha @mattiasdahlpoli @MKathrynHennes1 @AZgeopolitics If you seriously read his scientific publications, you will understand that a civil war broke out in Ukraine on the Maidan. It later grew into a proxy war between the West and Russia, but it is basically a civil war. Ukrainians shot on Ukrainians, a civil war!",-1,"Negatif"
"1792","@_iBodik_ @marlowc2324 US recently relocated 2 major chip businesses from Taiwan to USA because of fears of China…  Huge hit on their economy. I hope we do business with Ukraine. However it will be years after the war &amp; only if Ukraine is in EU &amp; NATO &amp; Russia is kept in solid check. #SlavaUkraini",0,"Netral"
"1793","Biden, Macron vow to hold Russia accountable for 'war crimes' in Ukraine https://t.co/qICgM95rSd",0,"Netral"
"1794","The strikes ARE war crimes, and Lavrov  is a deplorable criminal like his boss:
""Sergei Lavrov, Russia’s foreign minister, claimed Ukraine’s civilian energy infrastructure is a legitimate military target. The United Nations has said the strikes could amount to war crimes."" -NYT",-1,"Negatif"
"1795","We agree with @POTUS:

The US must remain open to direct engagement including between @JoeBiden and Putin to reduce harm from the war and support Ukraine. 

Great to see @POTUS himself endorse one of the key arguments made in the CPC diplomacy letter. 

https://t.co/bzRyk95JPh https://t.co/MjeCPG2UU6 https://t.co/uNWnw9fWHI",1,"Positif"
